test_name,scene,variable,value,render_mode,N,K,styles_per_object,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,p99_cpu_ms,max_cpu_ms,std_cpu_ms,mean_gpu_ms,median_gpu_ms,p95_gpu_ms,p99_gpu_ms,max_gpu_ms,std_gpu_ms
AreaScaling,TestScene3,Coverage,5,Fullscreen,32,32,32,15.422420,15.461729,16.817298,17.954147,18.448334,0.859166,42.533334,42.213813,47.326856,51.959341,52.794749,2.669773
AreaScaling,TestScene3,Coverage,5,CPU,32,32,32,4.487350,4.032334,7.263617,9.326593,10.269209,1.307040,11.121531,10.175583,17.640009,22.384767,23.689124,3.051503
AreaScaling,TestScene3,Coverage,5,GPU,32,32,32,3.787021,3.538730,4.876621,5.191430,5.601375,0.575414,9.056064,9.197979,10.273549,10.684828,11.111708,0.766381
AreaScaling,TestScene3,Coverage,80,Fullscreen,32,32,32,27.523767,27.254042,30.368292,31.153905,31.989500,1.111530,78.248793,77.283250,86.618022,89.145292,92.408708,3.425066
AreaScaling,TestScene3,Coverage,80,CPU,32,32,32,25.589496,25.042208,29.270577,35.211643,40.776500,2.085072,72.490455,70.811937,83.282637,101.751497,116.611124,6.100245
AreaScaling,TestScene3,Coverage,80,GPU,32,32,32,24.878140,24.778938,26.045402,26.448052,26.922708,0.648988,70.018037,69.711416,73.729751,76.654992,77.482708,2.051321
AreaScaling,TestScene3,Coverage,60,Fullscreen,32,32,32,25.032034,24.050334,32.142602,44.456289,58.501541,3.861478,70.799910,67.781250,92.364960,130.750404,160.844250,11.493037
AreaScaling,TestScene3,Coverage,60,CPU,32,32,32,20.044870,19.649709,21.503625,29.697871,40.451500,2.114250,55.907032,54.578938,61.201623,84.545047,108.471833,6.186734
AreaScaling,TestScene3,Coverage,60,GPU,32,32,32,21.649955,20.690625,28.250481,31.936682,33.370207,3.041652,60.433950,57.717583,79.902184,91.504978,93.849208,9.114234
AreaScaling,TestScene3,Coverage,20,Fullscreen,32,32,32,18.159963,17.906230,20.210676,21.467583,23.866250,1.112103,50.490400,49.469042,56.619237,60.584695,72.503249,3.398792
AreaScaling,TestScene3,Coverage,20,CPU,32,32,32,8.280485,8.115604,9.300005,9.671920,10.745958,0.780672,21.876446,21.849812,24.203523,25.332672,25.779791,1.312620
